year,category_code,category_description,citypart_code,citypart_name,branches_total,branches_12visitorsplus,employees
2019,4,"snackbars, lunchrooms, icecream parlors, fish stands",E,West,240,225,1090
2019,4,"snackbars, lunchrooms, icecream parlors, fish stands",F,Nieuw-West,140,135,580
2019,4,"snackbars, lunchrooms, icecream parlors, fish stands",K,Zuid,230,215,1035
2019,4,"snackbars, lunchrooms, icecream parlors, fish stands",M,Oost,125,115,540
2019,4,"snackbars, lunchrooms, icecream parlors, fish stands",N,Noord,95,90,360
2019,4,"snackbars, lunchrooms, icecream parlors, fish stands",T,Zuidoost,85,80,935
2019,5,"pubs, cafes, party locations, coffee places",A,Centrum,485,460,5120
2019,5,"pubs, cafes, party locations, coffee places",B,Westpoort,5,5,10
2019,5,"pubs, cafes, party locations, coffee places",E,West,160,145,875
2019,5,"pubs, cafes, party locations, coffee places",F,Nieuw-West,40,35,195
2019,5,"pubs, cafes, party locations, coffee places",K,Zuid,140,125,1160
2019,5,"pubs, cafes, party locations, coffee places",M,Oost,95,95,810
2019,5,"pubs, cafes, party locations, coffee places",N,Noord,35,30,235
2019,5,"pubs, cafes, party locations, coffee places",S,Weesp,0,0,0
2019,5,"pubs, cafes, party locations, coffee places",T,Zuidoost,25,20,125
2019,7,catering,A,Centrum,250,210,530
2019,7,catering,B,Westpoort,20,15,60
2019,7,catering,E,West,355,295,675
2019,7,catering,F,Nieuw-West,200,170,345
2019,7,catering,K,Zuid,320,270,685
2019,7,catering,M,Oost,270,235,485
2019,7,catering,N,Noord,150,130,380
2019,7,catering,S,Weesp,0,0,0
2019,7,catering,T,Zuidoost,115,100,3930
2019,8,kantines,A,Centrum,5,5,20
2019,8,kantines,E,West,10,10,35
2019,8,kantines,F,Nieuw-West,10,10,35
2019,8,kantines,K,Zuid,15,15,85
2019,8,kantines,M,Oost,15,10,135
2019,8,kantines,N,Noord,10,10,20
2019,8,kantines,T,Zuidoost,5,5,20
2020,0,rental holiday accomodations,A,Centrum,20,15,40
2020,0,rental holiday accomodations,E,West,5,0,5
2020,0,rental holiday accomodations,F,Nieuw-West,5,5,10
2020,0,rental holiday accomodations,K,Zuid,15,5,30
2020,0,rental holiday accomodations,M,Oost,5,0,10
2020,0,rental holiday accomodations,N,Noord,5,5,5
2020,0,rental holiday accomodations,T,Zuidoost,0,0,5
2020,1,hotels,A,Centrum,510,415,5330
2020,1,hotels,B,Westpoort,0,0,0
2020,1,hotels,E,West,130,85,1025
2020,1,hotels,F,Nieuw-West,50,40,695
2020,1,hotels,K,Zuid,150,110,2600
2020,1,hotels,M,Oost,75,60,780
2020,1,hotels,N,Noord,60,45,530
2020,1,hotels,S,Weesp,0,0,0
2020,1,hotels,T,Zuidoost,20,15,345
2020,2,"campings, hostels, bed and breakfast",A,Centrum,35,25,105
2020,2,"campings, hostels, bed and breakfast",E,West,10,5,95
2020,2,"campings, hostels, bed and breakfast",F,Nieuw-West,5,5,5
2020,2,"campings, hostels, bed and breakfast",K,Zuid,10,5,15
2020,2,"campings, hostels, bed and breakfast",M,Oost,5,0,35
2020,2,"campings, hostels, bed and breakfast",N,Noord,10,5,25
2020,2,"campings, hostels, bed and breakfast",T,Zuidoost,5,5,15
2020,3,restaurants,A,Centrum,815,760,8300
2020,3,restaurants,B,Westpoort,10,10,85
2020,3,restaurants,E,West,265,240,1735
2020,3,restaurants,F,Nieuw-West,135,120,840
2020,3,restaurants,K,Zuid,405,365,4160
2020,3,restaurants,M,Oost,210,190,1825
2020,3,restaurants,N,Noord,85,75,925
2020,3,restaurants,T,Zuidoost,75,65,730
2020,4,"snackbars, lunchrooms, icecream parlors, fish stands",A,Centrum,335,310,2505
2020,4,"snackbars, lunchrooms, icecream parlors, fish stands",B,Westpoort,5,5,10
2020,4,"snackbars, lunchrooms, icecream parlors, fish stands",E,West,255,235,1135
2020,4,"snackbars, lunchrooms, icecream parlors, fish stands",F,Nieuw-West,170,160,705
2020,4,"snackbars, lunchrooms, icecream parlors, fish stands",K,Zuid,260,240,1320
2020,4,"snackbars, lunchrooms, icecream parlors, fish stands",M,Oost,135,125,665
2020,4,"snackbars, lunchrooms, icecream parlors, fish stands",N,Noord,105,100,390
2020,4,"snackbars, lunchrooms, icecream parlors, fish stands",T,Zuidoost,100,95,1020
2020,5,"pubs, cafes, party locations, coffee places",A,Centrum,510,480,5360
2020,5,"pubs, cafes, party locations, coffee places",B,Westpoort,5,5,10
2020,5,"pubs, cafes, party locations, coffee places",E,West,165,150,850
2020,5,"pubs, cafes, party locations, coffee places",F,Nieuw-West,50,45,280
2020,5,"pubs, cafes, party locations, coffee places",K,Zuid,155,135,1165
2020,5,"pubs, cafes, party locations, coffee places",M,Oost,95,95,910
2020,5,"pubs, cafes, party locations, coffee places",N,Noord,40,35,320
2020,5,"pubs, cafes, party locations, coffee places",S,Weesp,0,0,0
2020,5,"pubs, cafes, party locations, coffee places",T,Zuidoost,25,20,145
2020,7,catering,A,Centrum,390,300,645
