,page_id,status_published,total_engagement,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,post_count
6790,43179984254,2016-11-01,4614567,3139201,257692,1217674,2091930,186068,102489,144829,128632,485253,789
6803,433261566868387,2016-11-01,3964679,2428928,328755,1206996,2188513,112193,25700,31319,7873,63330,617
6821,433443503516781,2016-11-01,331,262,7,62,237,4,2,3,9,7,97
6848,440106476051475,2016-11-01,5274794,3284781,620079,1369934,2501077,178199,51074,175305,41427,337699,519
6875,440522575997388,2016-11-01,87551,37689,6033,43829,21996,857,2147,2545,779,9365,983
6898,445073642279965,2016-11-01,123,75,23,25,58,2,0,9,2,4,61
6925,44667476574,2016-11-01,42144,26954,1816,13374,23599,1518,141,240,575,881,112
6952,44951363957,2016-11-01,21886,17059,968,3859,15705,543,157,250,108,296,83
6985,454994297918305,2016-11-01,1807,108,15,1684,95,4,1,1,1,6,79
7012,455410617809655,2016-11-01,10013,3720,1978,4315,2311,100,126,526,160,497,24
7059,460197020720819,2016-11-01,32521,20839,5316,6366,15234,1052,674,1800,355,1724,442
7067,462215667303888,2016-11-01,5067,2773,499,1795,1761,213,148,282,91,278,1232
7094,463855417049923,2016-11-01,543143,383674,51538,107931,355627,7948,1359,9688,1101,7951,3335
7121,46587884802,2016-11-01,12594,8760,547,3287,6510,341,201,44,503,1161,28
7148,475549362567960,2016-11-01,1591681,1019632,148048,424001,815611,52276,15020,47940,25651,63134,569
7175,479687202044787,2016-11-01,1071753,386034,20015,665704,291882,10604,4137,33886,18072,27453,174
7188,492836854251934,2016-11-01,2029,1007,228,794,683,41,51,77,20,135,967
7214,493304957381719,2016-11-01,0,0,0,0,0,0,0,0,0,0,61
7241,49867377595,2016-11-01,2422914,1198272,129948,1094694,856354,43725,30536,147802,14156,105699,960
7255,501786380024121,2016-11-01,37,28,4,5,27,0,1,0,0,0,1
7279,50513265848,2016-11-01,42443,29620,2248,10575,24902,1701,364,696,334,1623,52
7288,507165509486196,2016-11-01,631372,368124,40561,222687,286650,20812,11196,18234,2637,28595,200
7298,511928619002683,2016-11-01,792253,354512,75714,362027,252252,15722,5446,71415,1388,8289,286
7321,513600888679373,2016-11-01,6981836,3875701,1372037,1734098,2261600,326726,171057,217042,131593,767683,1102
7348,513813158657249,2016-11-01,7850425,3524944,290177,4035304,3319472,83099,10796,30533,15297,65747,974
7375,51560645913,2016-11-01,229524,136813,6251,86460,104981,3729,1135,21221,1662,4085,254
7403,519305544814653,2016-11-01,4561146,2590984,355283,1614879,2036559,147675,55934,135064,37255,178497,1113
7414,520289594804628,2016-11-01,2759085,1736217,194310,828558,1416247,79858,25255,88031,12362,114464,1464
7423,522359791285231,2016-11-01,988,463,29,496,443,9,2,7,0,2,71
7443,532734866892797,2016-11-01,303183,232070,36206,34907,195962,12937,2363,9293,1555,9960,674
7461,533719316792782,2016-11-01,1532535,828035,81194,623306,666489,29026,6959,82390,3837,39334,509
7467,540157359523493,2016-11-01,25,21,0,4,21,0,0,0,0,0,20
7492,542681229094582,2016-11-01,2477,1617,179,681,1221,40,53,221,7,75,116
7502,544518465756524,2016-11-01,728,440,216,72,374,21,2,19,3,21,62
7533,54789869630,2016-11-01,2201,1428,60,713,1301,52,6,1,20,48,32
7560,55076937573,2016-11-01,0,0,0,0,0,0,0,0,0,0,1
7583,551987771496911,2016-11-01,148962,118912,5813,24237,94189,4555,909,5160,7245,6854,70
7592,552194911539549,2016-11-01,629430,301689,10938,316803,254290,8983,1653,30032,1081,5650,85
7605,552538524928728,2016-11-01,290011,188554,17273,84184,141796,19944,2706,4733,5348,14027,722
7655,55803739618,2016-11-01,2874,1767,122,985,1299,32,49,12,148,227,117
7682,563531023712949,2016-11-01,5668,3588,550,1530,2654,151,110,319,41,313,80
7703,563896500417731,2016-11-01,560299,337450,52885,169964,268514,39747,3801,10426,2163,12799,760
7730,568982666502934,2016-11-01,1824380,786934,81491,955955,715437,27599,3849,16631,5277,18141,1017
7754,572064949480977,2016-11-01,2847133,898682,58285,1890166,727373,29555,7333,107056,4835,22530,658
7781,574747565911344,2016-11-01,1928831,1074098,298112,556621,589429,23921,48256,110602,21661,280229,700
7808,58158120046,2016-11-01,2039066,1435309,61498,542259,1237617,65172,9523,1178,47844,73975,113
7824,590630060984225,2016-11-01,80215,56658,10292,13265,52347,2566,172,1008,68,497,198
7851,591402597574018,2016-11-01,3351779,2235272,241168,875339,1827343,119427,29192,141801,22371,95138,812
7859,592074077639509,2016-11-01,1191509,768887,84308,338314,594908,48292,25778,38308,6132,55469,196
7865,597953296965194,2016-11-01,86,66,5,15,59,5,2,0,0,0,16
7890,60190486539,2016-11-01,6270,4023,885,1362,2786,213,106,116,121,681,43
7903,610045389164725,2016-11-01,7023065,5093083,525794,1404188,4305308,248080,82018,189037,51450,217190,876
7927,625416194262163,2016-11-01,1698589,1020932,148304,529353,869290,41299,12485,39859,6730,51269,437
7942,626080910791883,2016-11-01,106,64,11,31,39,6,5,12,0,2,27
7969,6333396177,2016-11-01,1335240,858245,289815,187180,491205,21793,18689,187289,15056,124213,428
7980,634446283374728,2016-11-01,12,2,10,0,2,0,0,0,0,0,22
7997,639552979481215,2016-11-01,1105930,600346,73488,432096,522541,42263,5191,15903,1570,12878,469
8013,644891892279936,2016-11-01,2501859,1120785,144021,1237053,868044,73976,32833,57160,8886,79886,1236
8040,645859405473969,2016-11-01,2696,1945,152,599,1724,46,11,89,11,64,177
8067,64639136366,2016-11-01,154062,91368,13864,48830,68751,7368,2062,1630,4173,7384,308
8093,651833651535152,2016-11-01,1049,748,82,219,451,50,33,5,36,173,38
8104,667824596689766,2016-11-01,522204,130152,17268,374784,105333,5646,1377,11171,625,6000,682
8117,689005071241062,2016-11-01,15283,7514,3389,4380,5536,298,116,887,63,614,261
8141,695526053890545,2016-11-01,1271578,998039,86762,186777,766137,45817,20479,103361,6404,55841,960
8168,69813760388,2016-11-01,6150351,4253450,650846,1246055,3164723,216691,111041,294063,56037,410895,253
8173,704811763010803,2016-11-01,1486,788,221,477,699,20,4,35,7,23,27
8181,729272437222215,2016-11-01,5,2,0,3,2,0,0,0,0,0,34
8204,730086470386080,2016-11-01,47,47,0,0,36,1,1,9,0,0,91
8231,731244080298286,2016-11-01,1014007,545868,85743,382396,377432,27433,17593,33943,17030,72437,460
8258,735302356547665,2016-11-01,12450,7138,2186,3126,4795,203,223,844,151,922,79
8285,7458504675,2016-11-01,1714,1313,137,264,958,67,27,50,83,128,279
8312,749061648443344,2016-11-01,156,106,13,37,88,5,2,4,2,5,23
8328,752089438256272,2016-11-01,936451,463898,129771,342782,368135,17769,6146,24836,5506,41506,402
8355,762592150466931,2016-11-01,708366,459893,66106,182367,279296,16736,21660,58201,15389,68611,364
8382,7629206115,2016-11-01,369155,251968,14871,102316,192903,14312,4229,4124,10090,26310,213
8409,7642602143,2016-11-01,2430692,1688101,128983,613608,1106601,105381,69331,72882,112391,221515,302
8439,768969409823211,2016-11-01,775,577,68,130,452,8,26,67,4,20,872
8463,769354053132340,2016-11-01,200489,143215,15732,41542,131072,3323,558,4656,473,3133,95
8485,778293698901245,2016-11-01,91,62,20,9,59,1,0,2,0,0,1
8508,799007653446065,2016-11-01,17081,9293,848,6940,6766,587,111,1527,80,222,116
8535,80256732576,2016-11-01,1028436,722371,89024,217041,513511,27226,26653,62446,9642,82893,627
8561,811793512220923,2016-11-01,189592,96732,17756,75104,60395,2560,3860,7827,3112,18978,291
8588,81307324765,2016-11-01,8517,3889,157,4471,3230,26,57,179,205,192,84
8607,825897147516847,2016-11-01,58,0,0,58,0,0,0,0,0,0,19
8646,83865976093,2016-11-01,140508,86709,5987,47812,60473,3783,1955,623,6183,13692,209
8673,85452072376,2016-11-01,980212,679269,185599,115344,538981,43153,8616,37836,8018,42665,720
8696,870254066367607,2016-11-01,1033,462,117,454,321,25,25,10,4,77,235
8712,872535699511452,2016-11-01,1467714,942719,115141,409854,748231,44626,19891,37645,8012,84314,619
8738,879232675425585,2016-11-01,315,140,83,92,120,0,3,8,1,8,1086
8758,879307625456770,2016-11-01,340446,163653,18481,158312,118745,12269,8293,10699,1906,11741,253
8768,879418882166765,2016-11-01,2,1,0,1,0,0,0,1,0,0,1
8794,882703445081566,2016-11-01,51,35,0,16,34,0,0,1,0,0,325
8821,8936818385,2016-11-01,1332,967,143,222,777,12,24,88,7,59,158
8836,897023440417172,2016-11-01,8575,4864,614,3097,3636,413,126,292,28,369,106
8847,903791689730369,2016-11-01,20656,9152,3191,8313,6192,439,223,1533,80,685,288
8874,91414372270,2016-11-01,776,427,23,326,375,6,9,2,6,29,55
8895,916120348409972,2016-11-01,6354,4142,1097,1115,2191,86,150,1014,75,626,380
8912,929534787140343,2016-11-01,6091159,4722397,512343,856419,4367218,180096,25459,55456,8740,85428,434
8927,940295849386709,2016-11-01,1358113,1031226,140354,186533,959056,13035,2827,29809,1689,24810,184
8954,9432926737,2016-11-01,50289,39630,2592,8067,22861,2070,812,552,2060,11275,194
8966,946155132159916,2016-11-01,298,28,6,264,17,6,0,2,1,2,42
8989,95475020353,2016-11-01,21359641,14272798,2192141,4894702,10358246,724703,367941,1303051,197980,1320877,1152
8999,956112704484286,2016-11-01,2470,1596,761,113,1287,65,8,120,12,104,175
9018,961038380624167,2016-11-01,24703,14785,1064,8854,12071,349,147,1567,152,499,179
9035,968877143183195,2016-11-01,801789,397602,20845,383342,306685,16826,3037,50160,8350,12544,284
9062,97464672662,2016-11-01,35239,25583,4474,5182,17935,1021,1034,3423,247,1923,108
9081,978296472213431,2016-11-01,1448592,965548,111726,371318,826130,42430,12154,22927,7015,54892,624
9097,979613892126968,2016-11-01,5477609,4088038,482624,906947,3534897,247540,36634,93603,60307,115057,328
9124,98658495398,2016-11-01,390698,261499,42674,86525,170401,12480,10308,22682,6180,39448,446
9136,993293174040189,2016-11-01,219745,154756,18353,46636,128521,4567,2510,4505,1347,13306,450
