,page_id,status_published,total_engagement,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,post_count
1233,129370207168068,2016-11-01,739592,478046,20969,240577,387076,27668,8277,21073,13420,20532,478
1239,129425217526985,2016-11-01,1216,770,101,345,704,53,7,4,1,1,202
1266,130631440429139,2016-11-01,5958,4179,409,1370,3669,117,25,202,16,150,189
1271,131682593971195,2016-11-01,45091,35583,3524,5984,31966,2030,369,491,156,571,32
1291,133961323610549,2016-11-01,18923239,11972040,1315653,5635546,9879222,744258,184552,496106,97992,569910,1763
1300,1340186812659728,2016-11-01,4735028,3146043,442118,1146867,2576668,160649,55266,134011,55292,164157,360
1327,134176153323755,2016-11-01,108517,74940,8242,25335,51462,4118,2048,6413,2329,8570,282
1332,1349936971683802,2016-11-01,513156,156591,83644,272921,90784,8061,5159,19934,3904,28749,189
1343,1353320324694643,2016-11-01,3084,1881,274,929,1564,214,13,31,12,47,116
1370,135665053303678,2016-11-01,1663063,775558,75128,812377,605912,28690,11031,70342,6905,52678,1239
1397,136264019722601,2016-11-01,3476434,2713335,157474,605625,2353318,104253,33191,101730,14906,105937,250
1424,136764599915,2016-11-01,350390,229142,28363,92885,159225,14552,5432,13228,8177,28528,594
1451,1374461649456926,2016-11-01,531181,284332,82583,164266,213658,13132,8107,10704,8413,30318,536
1478,13794040506,2016-11-01,66133,47106,6005,13022,29602,4624,855,3083,2428,6514,409
1505,138869856179618,2016-11-01,13051,6959,428,5664,5901,151,293,211,44,359,3163
1532,139398939438430,2016-11-01,1039103,605249,49028,384826,450080,28857,4766,90081,8734,22731,58
1554,140375152651507,2016-11-01,860,577,58,225,469,50,3,10,19,26,61
1581,1405080846374047,2016-11-01,108129,44819,7277,56033,28907,2440,1551,3088,411,8422,466
1608,140738092630206,2016-11-01,1615533,1155286,203862,256385,854062,65038,26259,112098,20520,77309,640
1635,1411473115776017,2016-11-01,1643,1230,42,371,1063,56,16,21,21,53,108
1658,1414486152197718,2016-11-01,4202,3280,351,571,3094,120,10,39,3,14,20
1685,141741139173942,2016-11-01,17469,9068,4550,3851,6352,567,265,701,158,1025,201
1712,142868065759441,2016-11-01,2652092,1591768,158480,901844,1413150,40404,7960,79037,6392,44825,3437
1739,143021112391265,2016-11-01,138363,109995,3262,25106,99783,5424,323,1488,1595,1382,125
1764,1435071773455316,2016-11-01,320732,200367,54396,65969,144009,7527,4823,18665,3219,22124,333
1791,144317282271701,2016-11-01,4773,2728,197,1848,2310,57,95,98,5,163,28
1816,144344708930358,2016-11-01,625,349,156,120,185,2,15,43,11,93,84
1843,1444086445825928,2016-11-01,172,118,17,37,101,4,1,10,1,1,7
1852,145008569258178,2016-11-01,3,3,0,0,3,0,0,0,0,0,1
1870,145380305523723,2016-11-01,834221,529120,56574,248527,430047,17894,3734,2220,45471,29754,91
1884,1462268053999457,2016-11-01,11,8,1,2,7,0,0,1,0,0,20
1911,146422995398181,2016-11-01,3143488,2136204,256977,750307,1318526,99221,84663,219053,82339,332402,643
1936,146801948862284,2016-11-01,18210,11297,2428,4485,8263,410,318,926,172,1208,781
1963,146909368666979,2016-11-01,21103,9524,1030,10549,7807,206,378,212,112,809,162
1983,147765065268571,2016-11-01,710,257,62,391,213,19,7,2,13,3,5
2007,147772245840,2016-11-01,1590707,996604,107035,487068,744162,41820,22979,100200,11805,75638,712
2034,148345978571352,2016-11-01,62164,36041,7581,18542,25359,1645,810,2738,412,5077,1085
2052,1485438831785542,2016-11-01,562673,324851,52166,185656,245633,27456,4804,11409,10776,24773,1757
2074,1487587521541634,2016-11-01,3373476,2547701,179977,645798,2289544,143503,15636,42771,10215,46032,760
2090,1488558181449522,2016-11-01,1663111,1113922,28616,520573,1040827,61518,1796,3575,1547,4659,199
2117,149817218374125,2016-11-01,287423,189644,37085,60694,144449,8168,2708,16688,1632,15999,957
2144,149873221834973,2016-11-01,2,0,0,2,0,0,0,0,0,0,3
2169,1507792376127891,2016-11-01,1114040,495338,51195,567507,416631,19100,4131,38638,2048,14790,700
2196,150931404928776,2016-11-01,835,535,34,266,469,15,4,3,7,37,73
2223,15139936162,2016-11-01,4345573,2995076,286440,1064057,2189498,97009,62192,372617,26313,247447,260
2250,152308008195941,2016-11-01,1946636,1018595,99167,828874,670075,38899,30809,78482,43544,156786,848
2262,1527239134221579,2016-11-01,590752,377682,54763,158307,284313,18999,8972,14902,11544,38952,196
2289,153418591515382,2016-11-01,198035,87046,7440,103549,58560,5965,2332,5512,4386,10291,146
2297,153519965088704,2016-11-01,90026,47636,5789,36601,34027,3262,774,3900,403,5270,2095
2324,15418366158,2016-11-01,129876,79192,18301,32383,52029,3087,2403,8912,2241,10520,260
2336,1542401046056064,2016-11-01,3916,2390,166,1360,2102,102,23,88,14,61,1409
2368,1544939742476831,2016-11-01,5007159,3694883,571559,740717,3241104,142168,31460,160794,11365,107992,626
2397,1546672678963050,2016-11-01,185659,155193,30352,114,103920,6642,4236,8568,3543,28284,326
2424,154672041747,2016-11-01,92819,40874,16271,35674,14028,303,1894,12352,1240,11057,163
2439,1554834908172384,2016-11-01,1437416,812563,102334,522519,715268,25056,7866,25906,6616,31851,1641
2454,1557469237907508,2016-11-01,4144349,2869470,225560,1049319,2496575,162715,29438,91430,8989,80323,727
2481,156185069843,2016-11-01,2766,1573,250,943,1327,78,83,35,16,34,1428
2490,1564924110429668,2016-11-01,499,323,86,90,243,16,8,30,1,25,32
2517,15704546335,2016-11-01,47573041,33158222,7033412,7381407,24759248,2784398,565764,1432902,794181,2821729,1016
2543,157718827732542,2016-11-01,19,6,8,5,3,0,0,0,0,3,7
2570,15779440092,2016-11-01,1488726,1062571,113366,312789,899904,34437,15908,47527,16967,47828,563
2578,157817631307424,2016-11-01,357183,283173,24822,49188,254228,12054,1781,7045,684,7381,521
2605,157843634416312,2016-11-01,62300,40061,4146,18093,33628,1371,643,2457,787,1175,382
2632,158924294183807,2016-11-01,5504294,2869955,267380,2366959,2150839,124663,68221,238019,38478,249735,1063
2658,1591828521031839,2016-11-01,120724,84502,12981,23241,71401,4968,1197,3102,627,3207,247
2682,1595723550651430,2016-11-01,218473,140395,27997,50081,110133,5572,2677,7443,1714,12856,2792
2689,1598314740470404,2016-11-01,53,31,6,16,24,4,0,2,0,1,15
2716,160260190686110,2016-11-01,78725,39633,2479,36613,28259,2550,854,553,2229,5188,424
2743,160389977329803,2016-11-01,7196854,2448593,156690,4591571,1963399,198538,44889,23240,113533,104993,636
2770,160617427472811,2016-11-01,4402,1612,273,2517,1169,98,23,189,8,125,20
2797,160712560629690,2016-11-01,429,344,18,67,291,23,0,20,9,1,6
2802,1608786116085025,2016-11-01,3,3,0,0,3,0,0,0,0,0,12
2826,161453087348302,2016-11-01,89035,59372,4533,25130,49442,3383,903,1172,206,4266,66
2847,1624162894502220,2016-11-01,998,654,32,312,515,23,10,11,26,69,39
2875,16307558831,2016-11-01,1471487,1061516,99978,309993,856387,28286,27261,27989,10652,110941,239
2895,163121917034901,2016-11-01,48729,27975,5972,14782,11749,1754,1483,4307,1601,7081,568
2904,1631398857174555,2016-11-01,428520,236139,38121,154260,198117,13177,3802,6276,1471,13296,425
2931,163201283712008,2016-11-01,23556,11802,560,11194,8154,695,80,2598,87,188,26
2944,1633304150220472,2016-11-01,1151361,706783,87519,357059,596281,37378,11200,31513,2941,27470,625
2964,1636990459913102,2016-11-01,1057285,647023,117357,292905,521365,37289,8371,33484,5246,41268,473
2983,1640832309490921,2016-11-01,2021407,1319103,167664,534640,871517,58302,46477,114475,46705,181627,626
2989,1641262382839336,2016-11-01,619985,432742,76478,110765,346304,24064,7572,15253,7316,32233,347
3011,1642685862611663,2016-11-01,164898,112558,10128,42212,92531,3808,716,14378,326,799,265
3038,164858597334,2016-11-01,9210,5943,897,2370,4794,331,98,428,38,254,167
3065,16512617979,2016-11-01,79801,39948,10665,29188,28881,2438,883,634,2074,5038,235
3071,1660184174273654,2016-11-01,1529,38,28,1463,31,0,0,0,1,6,24
3089,1665532373663056,2016-11-01,2041,1100,318,623,749,10,96,67,21,157,55
3105,1671569903078574,2016-11-01,7,7,0,0,6,0,0,0,0,1,192
3121,1671971886350240,2016-11-01,57863,33453,3000,21410,26640,1091,1002,990,806,2924,744
3133,1672814509645693,2016-11-01,1619422,848433,120362,650627,582225,33955,25875,72512,29215,104651,538
3146,1676688675937974,2016-11-01,312,132,66,114,102,7,1,0,6,16,21
3159,1690703604505977,2016-11-01,3783,118,115,3550,118,0,0,0,0,0,385
3170,1691686751091484,2016-11-01,24296,11645,1825,10826,7191,510,259,2035,112,1538,228
3195,169204449790211,2016-11-01,4352300,2395174,586171,1370955,1686050,104405,53289,239307,55172,256951,907
3209,1695168340767186,2016-11-01,4933048,3067302,297107,1568639,2400498,182217,59637,109164,62400,253386,508
3236,17108852506,2016-11-01,563266,391236,36728,135302,279106,17339,11857,14995,19770,48169,396
3263,171190156249770,2016-11-01,767,527,86,154,430,21,5,57,0,14,139
3274,1716514921967079,2016-11-01,484714,329364,43683,111667,293611,15239,3173,5390,1146,10805,365
